hymn	stanza	line	offset	pronoun	page	zh
157	2	4	8	祢	163	主，祢是配；主，祢是配；
160	3	3	2	祢	166	父在祢身之珍惜。
160	4	0	7	祢	166	父將祂愛全置於祢，
160	4	1	1	祢	166	稱祢作祂的愛子；
160	5	2	6	祢	166	哦，主耶穌，祢的名字，
161	3	0	6	祢	168	哦，主耶穌，祢降卑來到塵世，
161	3-chorus	1	0	祢	168	祢竟爲我如此降卑。
161	3-chorus	2	7	祢	168	直至永世還要將祢飽嘗，
161	3-chorus	3	0	祢	168	祢何豐富，祢何無量。
161	3-chorus	3	5	祢	168	祢何豐富，祢何無量。
161	4	2	1	祢	168	但祢竟作生命之糧，眞奇妙，
161	4-chorus	1	0	祢	168	祢竟爲我如此降卑。
161	4-chorus	2	7	祢	168	直至永世還要將祢飽嘗，
161	4-chorus	3	0	祢	168	祢何豐富，祢何無量。
161	4-chorus	3	5	祢	168	祢何豐富，祢何無量。
162	1	3	3	祢	169	我們與祢合一。
162	1	7	0	祢	169	祢自己作食物。
162	1-chorus	1	3	祢	169	我們將祢頌讚！
165	3	3	2	祢	173	誰識祢是創造主？
165	4	0	1	祢	174	看祢身懸十字苦架，
165	4	6	1	祢	174	惟祢配得永遠感戴，
165	5	3	2	祢	174	抗拒祢者都悲傷；
168	1	7	9	祢	176	頌讚與尊貴與榮耀歸祢，
168	1	8	4	祢	176	與榮耀歸祢，與榮耀歸祢。
168	1	8	10	祢	176	與榮耀歸祢，與榮耀歸祢。
168	1	9	9	祢	176	頌讚與尊貴與榮耀歸祢，
170	1	1	2	祢	178	讚美祢名。哦，我魂，歡欣！
171	4	3	1	祢	180	說祢無比恩愛——
171	4	5	0	祢	180	祢竟肯來同在：
172	1-chorus	3	0	你	182	你若肯信服，必享祂所有。
176	1	1	6	祢	187	敎我如何吸入祢；
176	6	1	1	祢	188	入祢慈愛的耳中；
177	2	1	1	祢	188	並祢應許恩惠；
177	2	6	1	祢	188	但祢計劃一旦展露，
181	1	2	8	你	193	充滿你的一生，使你心歡喜。
181	1	5	1	你	193	使你一生完全而活在主裏。
185	2	5	1	祢	198	在祢擊傷石磐；
185	2	7	1	祢	198	讓祢活水氾濫。
189	2	3	5	祢	202	我們就必被祢量過並佔有。
190	1	3	7	祢	203	如要識父只要識祢。
190	2	3	3	祢	203	雖在擠祢，摸祢不到。
192	3	2	5	祢	205	祢的自己、祢的性情，
193	5	2	6	祢	206	沒有一處不受祢感，
193	6	0	1	祢	206	求祢自己藉靈顯現，
193	7	2	5	祢	206	世上有誰比祢更實？
193	8	0	1	祢	206	求祢用靈從我的靈，
197	4	3	4	祢	210	我只屬於祢。
197	6	2	1	祢	210	使祢一切美意，
197	7	2	1	祢	210	給祢進來欣賞，
198	4	2	0	祢	210	祢微而清所說話語，
199	4	2	1	祢	211	有祢引領，何足畏懼？
200	1	1	4	祢	212	我今等候祢恩言；
201	3	5	1	祢	213	與祢同行，
202	4	7	0	祢	214	祢屬天的敎誨。
203	5	3	4	祢	216	使能領會祢愛；
204	5	0	8	祢	216	主，感謝祢，因爲祢話，
204	6	2	2	祢	216	今藉祢話，供應更新，
206	1	2	6	你	217	仇敵正環伺着你：
207	2	3	0	祢	218	祢的大名是得勝！
214	4	1	5	祢	226	激動，賜下祢的獨生愛子，
