number	en
522	Anywhere with Jesus I can safely go
523	He leadeth me!
524	God in heaven hath a treasure
525	Not I, but Christ
526	In God’s image we were made
527	Lord, in nothing will we be ashamed
528	When God created man on earth
529	There is always something over
530	Jesus is reality
531	Out of the depths of darkness
532	Christ is grace and truth
533	God is Spirit, love and light
534	My God, my Portion, and my Love
535	Eternal light
536	My home is God Himself
537	My heart is resting
538	Thou sweet, beloved will of God
539	From my spirit within flows a fountain of life—
540	O God, our help in ages past
541	The cross it standeth fast
542	The cross—we all were there
543	The old rugged cross
544	In the cross of Christ I glory
545	It is so sweet to die with Christ
546	All the way to Calvary
547	O, Cross of Christ, I take thee
548	First the blood, and then the ointment
549	The way of the Cross means sacrifice
550	If the path I travel
551	Via Bethlehem we journey
552	Hast thou no scar?
553	Olives that have known no pressure
554	’Tis my happiness below
555	Let us contemplate the grape vine
556	If from the right course I depart
557	Beneath the cross of Jesus
558	Jesus, keep me near the cross
559	Life out of death—dear Master
560	Take the name of Jesus with you
561	Deep down into the depths of this Thy Name
562	Not what I am, but what Thou art
563	Safe in the arms of Jesus
564	No, never alone
565	God moves in a mysterious way
566	In heav’nly love abiding
567	In His time
568	It is done
569	He faileth not, for He is God
570	God will take care of you!
571	Be still, my soul!
572	Does Jesus care
573	No, not one!
574	My Father knows
575	All the way my Savior leads me
576	I will guide thee with Mine eye
577	Sometime, we’ll understand
578	I know not what awaits me
579	Be still, my heart!
580	Count your blessings
581	Day by day
582	Through all the changing scenes of life
583	Lord, I believe!
584	Keep up the song of faith
585	Let us rejoice in the Lord evermore
586	Stayed upon Christ Jesus
587	Peace, perfect peace
588	My grace is sufficient for thee
589	God hath not promised
590	The cross is not greater than His grace
591	He giveth more grace
592	A little bird I am
593	Strong are the walls around me
594	Pressed out of measure
595	His angels His countenance always behold
596	Why should I fear the darkest hour
597	In the heart of Jesus
598	How good is the God we adore
599	Praise the Savior, ye who know Him!
600	Turn your eyes upon Jesus
601	Looking off unto Jesus
602	Soldier, soldier, fighting
603	Be all at rest
604	Consider Him
605	Take time to be holy
606	Let Him have His way with thee
607	Can you be obedient
608	If God be for us
609	The last handful
610	Rise up, O men of God!
611	Ye sleeping souls, awake
612	Rise, my soul, thy God directs thee
613	On toward the goal!
614	Press on to Christ!
615	Look away to Him!
616	Forward! be our watch-word
617	Stand up! stand up for Jesus!
618	Onward Christian soldiers!
619	I dare not be defeated
620	Fight the good fight with all thy might!
621	Conquering now and still to conquer
622	Praise at midnight
623	To the foe my word is always, “No
624	Faith is the victory
625	In the Overcomer’s Name
626	In the name of Jesus
627	We rest on Thee
628	The Son of God goes forth to war
629	A mighty Fortress is our God
630	The name of Jesus is our stand
631	Soldiers of Christ, arise
632	Our hands empow’r, Our hearts enflame!
633	With all the pow’r in heav’n and earth
634	Conflict today is fierce
635	Hallelujah! Christ is Victor
636	Charge, soldiers, charge in battle!
637	And is it so! I shall be like Thy Son?
638	A little while the Lord shall come
639	What if it were today?
640	The crowning day is coming By-and-by
641	Since long ago at Bethany
642	Since Thy departure
643	My King will soon come back again
644	Christ returneth
645	To take to Himself His Bride!
646	Lord, Thou wilt soon appear
647	Face to face with Christ, my Savior
648	Some day the silver cord will break
